computer.platform,startdate,starttime,subjectid,groupid,sessionid,elapsedtime,completed,propcorrect,meanRT,propcorrect_congruent,propcorrect_incongruent,propcorrect_control,meanRTcorr_congruent,meanRTcorr_incongruent,meanRTcorr_control
mac,2023-03-14,12:56:58,956252769,369781750,1,86239,1,0.94047619,702.556962,0.964285714,0.928571429,0.928571429,725.1851852,721.8846154,659.7307692
win,2023-03-14,13:03:04,275467863,663650657,1,113514,1,0.94047619,875.9746835,1,0.928571429,0.892857143,915.3571429,957.5769231,747
mac,2023-03-14,14:10:49,71500631,477722830,1,152814,1,0.988095238,832.0240964,1,1,0.964285714,798.6785714,859.9285714,837.6666667
mac,2023-03-14,16:29:39,922566954,706430554,1,16855,0,nan,nan,nan,nan,nan,nan,nan,nan
win,2023-03-14,16:54:13,645025827,903515033,1,89194,1,0.988095238,712.4698795,0.964285714,1,1,699.7407407,681.25,755.9642857
mac,2023-03-14,17:09:57,969383605,514836294,1,6069,0,nan,nan,nan,nan,nan,nan,nan,nan
mac,2023-03-14,17:08:43,645816374,59832085,1,167761,1,0.976190476,1246.731707,0.964285714,1,0.964285714,1152.518519,1048.607143,1546.407407
mac,2023-03-14,17:11:35,231044402,256032747,1,4110,0,nan,nan,nan,nan,nan,nan,nan,nan
mac,2023-03-14,17:09:50,930869254,553350646,1,116873,1,0.928571429,1050.807692,0.964285714,0.892857143,0.928571429,915.4814815,1273.84,976.8846154
win,2023-03-14,17:13:32,538355719,945864184,1,92865,1,0.964285714,747,0.928571429,1,0.964285714,696.5384615,829.9285714,709.5925926
mac,2023-03-14,17:13:28,969383605,514836294,2,102952,1,0.845238095,774.056338,0.928571429,0.75,0.857142857,792.0769231,772.6190476,755.7916667
win,2023-03-14,17:13:35,496975742,766113747,1,128138,1,0.928571429,1006.076923,0.892857143,0.928571429,0.964285714,1105.68,1022.653846,897.8888889
win,2023-03-14,17:13:54,15635986,695797713,1,133676,1,0.988095238,898.0843373,0.964285714,1,1,972.4444444,954.7142857,769.75
mac,2023-03-14,17:15:35,968860749,251298389,1,117315,1,0.976190476,1057,1,1,0.928571429,998.1785714,1255.571429,906.5
mac,2023-03-14,17:16:32,279850102,104801082,1,117503,1,0.964285714,982,1,0.928571429,0.964285714,816.5357143,1327.846154,820.5555556
mac,2023-03-14,17:18:45,65487889,430597463,1,142017,1,1,968.3452381,1,1,1,976.25,1074.464286,854.3214286
mac,2023-03-14,17:19:37,679890064,449737097,1,126396,1,0.952380952,873.5375,0.964285714,0.928571429,0.964285714,746.9259259,961.6538462,915.2962963
mac,2023-03-14,17:19:27,346266299,539253839,1,190166,1,0.976190476,1083.585366,1,0.964285714,0.964285714,1127.357143,1211.074074,910.7037037
win,2023-03-14,17:24:11,499340049,638444892,1,135976,1,0.94047619,976.278481,1,0.892857143,0.928571429,844.1071429,1043.6,1053.884615
win,2023-03-14,17:28:20,649088264,217586493,1,113503,1,0.964285714,710.2345679,0.964285714,0.964285714,0.964285714,607.6666667,752.3333333,770.7037037
mac,2023-03-14,17:43:17,555431587,211111458,1,93988,1,1,706.5595238,1,1,1,699.8928571,797.7857143,622
mac,2023-03-14,18:12:53,231044402,256032747,2,105198,1,0.976190476,848.7195122,0.928571429,1,1,778.3846154,861.8571429,900.8928571
mac,2023-03-15,11:43:48,113715893,454820461,1,135309,1,0.916666667,997.0779221,0.892857143,0.892857143,0.964285714,1065.88,1036.8,896.5925926
mac,2023-03-15,19:49:21,729161005,691010941,1,119614,1,0.976190476,870.3292683,0.964285714,0.964285714,1,979.6296296,936.1851852,701.4285714
mac,2023-03-16,10:47:09,507835516,507781221,1,98915,1,0.964285714,772.654321,1,0.928571429,0.964285714,751.8928571,906.9615385,664.8518519
win,2023-03-16,11:18:09,814607704,274558096,1,137549,1,0.964285714,1183.802469,1,0.928571429,0.964285714,1072.142857,1407.769231,1083.925926
